"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
764,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","HARYANA","NA_HARYANA","COST","Daily","Vehicle utilization","% utilization as per weight or volume","% Utilization","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
765,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","DELHI","NA_DELHI","COST","Daily","Vehicle utilization","% utilization as per weight or volume","% Utilization","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
766,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","MEERUT","NA_MEERUT","COST","Daily","Vehicle utilization","% utilization as per weight or volume","% Utilization","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
767,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CTIPL-CFS","PHALTAN","CTIPL - CFS","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"100.000","PENDING"
768,"TELECOM","TRANSPORTATION","WEST",,"VODAFONE","AHMEDABAD","NA_AHMEDABAD","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
769,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","JAIPUR","NA_JAIPUR","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
770,"MANUFACTURING","TRANSPORTATION","SOUTH",,"GULF OIL TRANSPORT","CHENNAI","NA","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
771,"MANUFACTURING","TRANSPORTATION","WEST",,"Cummins India","BELGAUM","NA_BELGAUM","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
772,"MANUFACTURING","TRANSPORTATION","WEST",,"Cummins India","KOLHAPUR","NA","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
773,"MANUFACTURING","TRANSPORTATION","WEST",,"Cummins India","PIRANGUT","NA","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
774,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS-CTILPL-CES","PHALTAN","CTIPL - CES","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
775,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CIL-IEBU","KOTHRUD","CIL-IEBU","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
776,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CIL-IPDC","PHALTAN","CIL - IPDC","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
777,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CIL-PGBU SEZ","PHALTAN","CIL - PGBU SEZ","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
778,"CONSUMER","TRANSPORTATION","NORTH",,"MARICO INDIA LIMITED -TPT","SONIPAT",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
779,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CTIPL-ITC","KOTHRUD","CTIPL - ITC","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
780,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CTIPL-RECON","PHALTAN","CTIPL - RECON","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
781,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS-CTILPL-CES","PHALTAN","CTIPL - CES","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
782,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CGT- RANJANGAON","RANJANGAON","CGT- RANJANGAON","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
783,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_TCL PHALTAN","PHALTAN","TCL PHALTAN","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
784,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CTIPL-PHP","PHALTAN","CTIPL - PHP","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
785,"MANUFACTURING","TRANSPORTATION","SOUTH",,"Cummins India","CHENNAI","NA","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
786,"MANUFACTURING","WAREHOUSE","NORTH",,"CUMMINS-CTT","PANTNAGAR",,"COST","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
787,"MANUFACTURING","WAREHOUSE","NORTH",,"CUMMINS-CES","PANTNAGAR","NA_PANTNAGAR","DELIVERY","Daily","Vehicle Placement","Total number of vehicle provided on time/Total number of vehicle requested","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
788,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","JAIPUR","NA_JAIPUR","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
789,"AOB (NON M & M)","TRANSPORTATION","SOUTH",,"RNAIPL","CHENNAI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
790,"AOB (NON M & M)","TRANSPORTATION","SOUTH",,"VOLVO","BENGALURU","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
791,"AOB (NON M & M)","TRANSPORTATION","WEST",,"Hero","HALOL","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
792,"AOB (NON M & M)","TRANSPORTATION","NORTH",,"Hero","DHARUHERA","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
793,"AOB (NON M & M)","TRANSPORTATION","SOUTH",,"Hero","HARIDWAR","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
794,"TELECOM","TRANSPORTATION","WEST",,"VODAFONE","AHMEDABAD","NA_AHMEDABAD","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
795,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","HARYANA","NA_HARYANA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
796,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","DELHI","NA_DELHI","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
797,"TELECOM","TRANSPORTATION","NORTH",,"VODAFONE","MEERUT","NA_MEERUT","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
798,"TELECOM","TRANSPORTATION","WEST",,"VODAFONE","AHMEDABAD","NA_AHMEDABAD","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
799,"AOB (NON M & M)","TRANSPORTATION","SOUTH",,"HYUNDAI GLOVIS","CHENNAI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
800,"MANUFACTURING","TRANSPORTATION","NORTH",,"MAHLE FILTER SYSTEMS INDIA PVT LTD","KATHA BADDI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
801,"MANUFACTURING","TRANSPORTATION","SOUTH",,"MAHLE FILTER SYSTEMS INDIA PVT LTD","CHENNAI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
802,"MANUFACTURING","TRANSPORTATION","WEST",,"MAHLE FILTER SYSTEMS INDIA PVT LTD","PUNE",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
803,"MANUFACTURING","TRANSPORTATION","NORTH",,"JOHNSON MATTHEY","MANESAR","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
804,"MANUFACTURING","TRANSPORTATION","SOUTH",,"DANA ANAND INDIA PVT LTD","HOSUR","NA_HOSUR","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
805,"MANUFACTURING","TRANSPORTATION","WEST",,"DANA ANAND INDIA PVT LTD","SATARA","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
806,"MANUFACTURING","TRANSPORTATION","WEST",,"DANA ANAND INDIA PVT LTD","CHAKAN","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
807,"MANUFACTURING","TRANSPORTATION","NORTH",,"DANA ANAND INDIA PVT LTD","UDHAM SINGH NAGAR","NA_USN","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
808,"MANUFACTURING","TRANSPORTATION","NORTH",,"NEEL METALS PVT LTD_TP","HARIDWAR","NA_HARIDWAR","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
809,"CONSUMER","STORE & LINE FEED","WEST",,"3 M INDIA LTD","PUNE","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
810,"CONSUMER","WAREHOUSE","NORTH",,"FITRON INDUSTRIES INDIA PVT. LTD.","LUHARI",,"SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
811,"CONSUMER","WAREHOUSE","NORTH",,"LOREAL INDIA PRIVATE LIMITED","LUHARI","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
812,"CONSUMER","WAREHOUSE","SOUTH",,"FOSSIL INDIA PVT. LTD","BANGLORE",,"UA / UC","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
813,"CONSUMER","TRANSPORTATION","WEST",,"HINDUSTAN UNILEVER LIMITED - TPT","NAGPUR",,"SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
814,"CONSUMER","WAREHOUSE","WEST",,"HINDUSTAN UNILEVER LIMITED - WH","NAGPUR",,"SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"65.000","PENDING"
815,"CONSUMER","WAREHOUSE","WEST",,"HUL","VAPI","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
816,"CONSUMER","TRANSPORTATION","WEST",,"HUL","VAPI","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
817,"CONSUMER","WAREHOUSE","WEST",,"3M INDIA LTD","BHIWANDI","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
818,"CONSUMER","WAREHOUSE","SOUTH",,"3M India Ltd.","BANGALORE","NA_BANGALORE","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
819,"CONSUMER","STORE & LINE FEED","WEST",,"ITC Tobacco Ranjangaon","PUNE","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
820,"MANUFACTURING","TRANSPORTATION","SOUTH",,"SCHLUMBERGER-TPT-BANGALORE","BANGALORE",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
821,"CONSUMER","WAREHOUSE","SOUTH",,"JOHNSON & JOHNSON - WH","HYDERABAD","NA_HYDERABAD","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
822,"CONSUMER","WAREHOUSE","NORTH",,"Johnson & Johnson","KATHA BADDI","NA_BADDI","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
823,"CONSUMER","STORE & LINE FEED","SOUTH",,"Asian Paints","VISAKHAPATNAM","NA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
824,"CONSUMER","WAREHOUSE","EAST",,"APL Plant","KOLKATA","NA_KOLKATA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
825,"CONSUMER","WAREHOUSE","EAST",,"MODENIK LIFESTYLE PVT LTD","KOLKATA","NA_KOLKATA","SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
826,"CONSUMER","TRANSPORTATION","NORTH",,"MARICO INDIA LIMITED -TPT","SONIPAT",,"SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
827,"CONSUMER","TRANSPORTATION","NORTH",,"MARICO INDIA LIMITED -TPT","SONIPAT",,"SAFETY","Daily","UA / UC","No. of Unsafe Act/Condition","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
828,"MANUFACTURING","WAREHOUSE","WEST",,"THERMAX WWS PUNE","PUNE","NA","PRODUCTIVITY","Daily","Veh Unloading TAT(not more than 3 hrs)","No of vehicles for which inward TAT was adhered/Total vehicle unloading plan","Percentage","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
829,"AOB (NON M & M)","TRANSPORTATION","SOUTH",,"BMW","CHENNAI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"66.000","PENDING"
830,"MANUFACTURING","TRANSPORTATION","WEST",,"SKODA AUTO VOLKSWAGEN INDIA PVT LTD GROUP SALES","PUNE",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
831,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CGT- RANJANGAON","RANJANGAON","CGT- RANJANGAON","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
832,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_TCL PHALTAN","PHALTAN","TCL PHALTAN","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
833,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CTIPL-PHP","PHALTAN","CTIPL - PHP","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
834,"MANUFACTURING","TRANSPORTATION","SOUTH",,"Cummins India","CHENNAI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
835,"MANUFACTURING","WAREHOUSE","NORTH",,"CUMMINS-CTT","PANTNAGAR",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
836,"MANUFACTURING","WAREHOUSE","NORTH",,"CUMMINS-CES","PANTNAGAR","NA_PANTNAGAR","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
837,"MANUFACTURING","STORE & LINE FEED","WEST",,"CUMMINS TURBO TECHNOLOGIES","PITHAMPUR","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
838,"MANUFACTURING","WAREHOUSE","WEST",,"CUMMINS-AHMEDNGAR","AHMEDNGAR",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
839,"MANUFACTURING","TRANSPORTATION","WEST",,"SKODA AUTO VOLKSWAGEN INDIA PRIVATE LIMITED_TRANS","PUNE","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
840,"MANUFACTURING","TRANSPORTATION","WEST",,"SKODA AUTO VOLKSWAGEN INDIA PVT LTD GROUP SALES","PUNE",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
841,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS-CTILPL-CES","PHALTAN","CTIPL - CES","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
842,"MANUFACTURING","TRANSPORTATION","WEST",,"CUMMINS_CGTIPL-AHMEDNAGAR","PHALTAN","CGTIPL-AHMEDNAGAR","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
843,"CONSUMER","TRANSPORTATION","NORTH",,"Dr. Reddys Laboratories","TEPLA","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
844,"CONSUMER","TRANSPORTATION","NORTH",,"NILKAMAL LIMITED","GURGAON",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
845,"CONSUMER","TRANSPORTATION","NORTH",,"H&M RETAIL PVT LTD","GURGAON",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
846,"CONSUMER","TRANSPORTATION","WEST",,"HINDUSTAN UNILEVER LIMITED - TPT","NAGPUR",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
847,"CONSUMER","TRANSPORTATION","WEST",,"HUL","VAPI","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
848,"CONSUMER","TRANSPORTATION","WEST",,"3M INDIA LTD-T","BHIWANDI",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
849,"CONSUMER","TRANSPORTATION","WEST",,"3M INDIA LTD-T","PUNE","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
850,"CONSUMER","TRANSPORTATION","SOUTH",,"JOHNSON & JOHNSON - TPT","HYDERABAD","NA_HYDERABAD","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper ","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
851,"MANUFACTURING","TRANSPORTATION","WEST",,"Cummins India","BELGAUM","NA_BELGAUM","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
852,"MANUFACTURING","TRANSPORTATION","WEST",,"MAGNA","PUNE","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
853,"MANUFACTURING","TRANSPORTATION","WEST",,"CHEP INDIA PRIVATE LIMITED","PUNE",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
854,"MANUFACTURING","TRANSPORTATION","WEST",,"MERCEDES BENZ INDIA PRIVATE LIMITED-TPT","URAN",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
855,"MANUFACTURING","TRANSPORTATION","WEST",,"THERMAX","CHINCHWAD","NA","SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
856,"MANUFACTURING","TRANSPORTATION","SOUTH",,"BOSCH-TPT","BANGALORE",,"SAFETY","Daily","Vehicle & Driver Compliance","No of vehicle complied/Total no of vehicles Allocated","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
