"Sr. No","Vertical","Service Line","Cluster","SubCluster","Account","Location","Block","Category","Frequency","Dwmsparameter","Formula","Uom","Ideal Direction","Expected Entry Date","Actual Entry Date","Numerator","Num1 Decription","Num1","Num2 Decription","Num2","Num3 Decription","Num3","Denominator","Deno1 Decription","Deno1","Deno2 Decription","Deno2","Deno3 Decription","Deno3","Achieved","Calculated Value","Target Achieved","Status"
22,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Patna","PATNA","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
23,"M&M AFS","WAREHOUSE","CENTRAL",,"Farm Division RSO_ Raipur","RAIPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
24,"M&M AFS","WAREHOUSE","WEST1",,"Farm Division RSO_ Rajkot","RAJKOT","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
25,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Ranchi","RANCHI",,"SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
26,"M&M AFS","WAREHOUSE","NORTH",,"Farm Division RSO_ Rudrapur","RUDRAPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
27,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Gwalior","GWALIOR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
28,"M&M AFS","TRANSPORTATION","NORTH",,"Swaraj OB_ Mohali_ TPT","MOHALI","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
29,"M&M AFS","WAREHOUSE","WEST1",,"Swaraj Division RSO_ Ahmedabad","AHMEDABAD","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
30,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Aligarh","ALIGARH","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
31,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Ambikapur","AMBIKAPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
32,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Aurangabad","AURANGABAD","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
33,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Bareilly","BAREILLY","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
34,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Basti","BASTI","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
35,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Bhadrak","BHADRAK","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
36,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Bhopal","BHOPAL","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
37,"M&M AFS","WAREHOUSE","WEST1",,"Swaraj Division RSO_ Daund","DAUND","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
38,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Dharwad","DHARWAD","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
39,"M&M AFS","WAREHOUSE","SOUTH",,"Swaraj Division RSO_ Guntur","GUNTUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
40,"M&M AFS","WAREHOUSE","SOUTH",,"Farm Division RSO_ Salem","SALEM","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
41,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Indore","INDORE","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
42,"M&M AFS","WAREHOUSE","CENTRAL",,"Swaraj Division RSO_ Jabalpur","JABALPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
43,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Jodhpur","JODHPUR","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
44,"M&M AFS","WAREHOUSE","NORTH",,"Swaraj Division RSO_ Lucknow","LUCKNOW","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
45,"M&M AFS","WAREHOUSE","EAST",,"Swaraj Division RSO_ Malda","MALDA","NA","SAFETY","Daily","Unsafe Condition - Closed","No. of Unsafe Condition Closed","Nos","Upper","01/01/2024","","0.00","","","","","","","0.00","","","","","","",,0,"0.000","PENDING"
